X,Y,description,ADDRESSBUILDINGNAME,ADDRESSSTREETNAME
103.7639619,1.380517328,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",BUKIT PANJANG PLAZA,"1 JELEBU ROAD, BUKIT PANJANG PLAZA, #04-03"
103.8703186,1.321885568,Bin collection; E-waste accepted: Ink and toner cartridges,70 GEYLANG BAHRU,"70 GEYLANG BAHRU, 70 GEYLANG BAHRU"
103.865597,1.335760291,Bin collection; E-waste accepted: Ink and toner cartridges,HDB-POTONG PASIR,"121 POTONG PASIR AVENUE,  HDB-POTONG PASIR"
103.8925506,1.31867575,Bin collection; E-waste accepted: Ink and toner cartridges,PAYA LEBAR SQUARE,"60 PAYA LEBAR RD, PAYA LEBAR SQUARE"
103.7654765,1.312481082,Bin collection; E-waste accepted: Ink and toner cartridges,COURTS@CLEMENTI,"415 CLEMENTI AVENUE 3, #01-309"
103.9646178,1.367000538,Bin collection; E-waste accepted: Ink and toner cartridges,LOYANG POINT,"259 PASIR RIS STREET 21, LOYANG POINT"
103.9422815,1.377909453,Bin collection; E-waste accepted: Ink and toner cartridges,ELIAS MALL,"623 ELIAS ROAD, ELIAS MALL"
103.9362721,1.379306517,Bin collection; E-waste accepted: Ink and toner cartridges,PASIR RIS WEST PLAZA,"735 PASIR RIS STREET 72, PASIR RIS WEST PLAZA"
103.901558,1.38493202,Bin collection; E-waste accepted: Ink and toner cartridges,RIVERVALE PLAZA,"118 RIVERVALE DRIVE, RIVERVALE PLAZA"
103.7785605,1.338656769,Bin collection; E-waste accepted: Ink and toner cartridges,BUKIT TIMAH PLAZA,"1 JALAN ANAK BUKIT BUKIT TIMAH PLAZA, BUKIT TIMAH PLAZA"
103.720268,1.335042021,Bin collection; E-waste accepted: Ink and toner cartridges,TAMAN JURONG SHOPPING CENTRE,"399 YUNG SHENG ROAD, TAMAN JURONG SHOPPING CENTRE"
103.6970201,1.34159108,Bin collection; E-waste accepted: Ink and toner cartridges,PIONEER MALL,"638 JURONG WEST STREET 61, PIONEER MALL"
103.6977321,1.348743572,Bin collection; E-waste accepted: Ink and toner cartridges,GEK POH SHOPPING CENTRE,"762 JURONG WEST STREET 75, GEK POH SHOPPING CENTRE"
103.842561,1.29225958,"Bin collection; E-waste accepted: Batteries, Lamps",COLD STORAGE @ UE SQUARE,"81 CLEMENCEAU AVENUE, UE SQUARE, #02-15"
103.8436568,1.320211,"Bin collection; E-waste accepted: Batteries, Lamps",COLD STORAGE @ NOVENA SQUARE,"238 THOMSON ROAD, NOVENA SQUARE, #01-28"
103.7449504,1.385068357,"Bin collection; E-waste accepted: Batteries, Lamps",FAIRPRICE @ LOT 1 SHOPPERS' MALL,"21 CHOA CHU KANG AVE 4, LOT 1 SHOPPERS' MALL, #B1-03"
103.7465581,1.397301904,"Bin collection; E-waste accepted: Batteries, Lamps",FAIRPRICE @ YEW TEE POINT,"21 CHOA CHU KANG NORTH 6, YEW TEE POINT, #B1-01"
103.7393714,1.333753432,"Bin collection; E-waste accepted: Batteries, Lamps",FAIRPRICE @ BLK 135 JURONG GATEWAY RD,"BLK 135 JURONG GATEWAY RD, #01-337"
103.7468471,1.366506985,"Bin collection; E-waste accepted: Batteries, Lamps",FAIRPRICE @ HOMETEAM NS BUKIT BATOK CLUBHOUSE,"2 BUKIT BATOK WEST AVE 7, HOMETEAM NS BUKIT BATOK CLUBHOUSE, #01-10"
103.8078754,1.274862657,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",TELOK BLANGAH CC,"450 TELOK BLANGAH STREET 31, TELOK BLANGAH CC"
103.779774,1.295467181,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",KENT RIDGE CAMPUS,"27 SCIENCE DRIVE 1, KENT RIDGE CAMPUS, OUTSIDE LT27 & LT29 STUDENT SPACE, LEVEL 1"
103.7731518,1.296728863,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",KENT RIDGE CAMPUS,"12 KENT RIDGE CRES, KENT RIDGE CAMPUS,  CENTRAL LIBRARY FORUM SPACE, LEVEL 1"
103.7723962,1.304776877,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",UTOWN - STEPHEN RIADY CENTRE,"2 COLLEGE AVE WEST, UTOWN - STEPHEN RIADY CENTRE, LEVEL 1 IN FRONT OF WAACOW RESTAURANT"
103.8569792,1.324639594,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",WHAMPOA CC,300 WHAMPOA DRIVE
103.8670368,1.332535912,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",POTONG PASIR CC,6 POTONG PASIR AVENUE 2
103.9316206,1.326984988,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",HEARTBEAT @ BEDOK,11 BEDOK NORTH STREET 1
103.9396836,1.353496155,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",OUR TAMPINES HUB,1 TAMPINES WALK
103.7463772,1.325199507,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",GERMAN CENTRE,25 INTERNATIONAL BUSINESS PARK
103.8542974,1.279105668,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",MARINA BAY FINANCIAL CENTRE TOWER 3,12 MARINA BOULEVARD
103.7832287,1.44627225,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",REPUBLIC POLYTECHNIC,"9 WOODLANDS AVENUE 9, REPUBLIC POLYTECHNIC"
